Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Registered nurses,Saskatchewan,Place of work,Community health,"1,756","1,800","1,757","1,724","1,749","1,787","1,853","1,995","2,014","2,003"
Registered nurses,Saskatchewan,Place of work,Nursing home/long-term care,989,979,980,991,"1,037",978,957,893,896,940
Registered nurses,Saskatchewan,Place of work,Other place of work,"1,132","1,174","1,159","1,191","1,202","1,197","1,217","1,260","1,249","1,259"
Registered nurses,Saskatchewan,Place of work,Not stated,224,273,306,328,137,249,133,151,10,184
Registered nurses,Saskatchewan,Position,Staff nurse,"7,955","8,093","8,226","8,304","8,571","8,677","8,949","9,244","9,459","9,731"
Registered nurses,Saskatchewan,Position,Manager,556,548,536,504,488,494,477,460,460,439
Registered nurses,Saskatchewan,Position,Other position,"1,322","1,351","1,350","1,403","1,443","1,333","1,284","1,285","1,251","1,264"
Registered nurses,Saskatchewan,Position,Not stated,221,272,304,327,135,249,133,151,10,185
Registered nurses,Saskatchewan,Area of practice,Direct care,"9,030","9,211","9,350","9,458","9,770","9,688","9,870","10,095","10,252","10,465"
Registered nurses,Saskatchewan,Area of practice,Administration,288,268,262,239,215,278,306,349,374,389
Registered nurses,Saskatchewan,Area of practice,Education,483,480,462,481,481,512,510,520,524,556
Registered nurses,Saskatchewan,Area of practice,Research,30,33,36,31,34,26,24,25,20,25
Registered nurses,Saskatchewan,Area of practice,Not stated,223,272,306,329,137,249,133,151,10,184
Registered nurses,Saskatchewan,Geography,Urban,"8,168","8,373","8,505","8,608","8,709","8,889","9,052","9,379","9,461","9,553"
Registered nurses,Saskatchewan,Geography,Rural/remote,"1,882","1,873","1,893","1,910","1,907","1,862","1,789","1,759","1,708","1,688"
Registered nurses,Saskatchewan,Geography,Not stated,4,18,18,20,21,2,2,2,11,378
Registered nurses,Alberta,Workforce,Total,"33,773","34,651","34,356","34,079","34,372","34,627","34,380","34,399","34,471",
Registered nurses,Alberta,Inflow,Total,"3,995","3,184","2,360","1,903","2,479","2,329","2,204","2,532","2,767",
Registered nurses,Alberta,Inflow,Canadian educated,"3,675","2,905","2,182","1,772","2,278","2,179","2,016","2,293","2,378",
Registered nurses,Alberta,Inflow,Internationally educated,319,278,176,131,200,150,188,238,367,
Registered nurses,Alberta,Inflow,Grad location not stated,1,1,2,0,1,0,0,1,22,
Registered nurses,Alberta,Outflow,Total,"2,306","2,655","2,180","2,186","2,074","2,451","2,513","2,695",,
Registered nurses,Alberta,Renewal,Total,"29,778","31,467","31,996","32,176","31,893","32,298","32,176","31,867","31,704",
Registered nurses,Alberta,Full-time/part-time status,Full time,"17,443","17,863","15,460","15,090","15,940","15,665","15,410","15,480","15,613",
Registered nurses,Alberta,Full-time/part-time status,Part time,"10,827","11,324","13,415","14,585","14,603","14,717","14,468","14,426","14,101",
Registered nurses,Alberta,Full-time/part-time status,Casual,"5,188","4,493","5,481","4,404","3,828","4,244","4,501","4,487","4,627",
Registered nurses,Alberta,Full-time/part-time status,Not stated,315,971,0,0,1,1,1,6,130,
Registered nurses,Alberta,Place of work,Hospital,"21,890","21,846","22,027","21,922","21,943","21,900","21,489","21,097","21,258",
Registered nurses,Alberta,Place of work,Community health,"5,213","5,663","5,761","5,936","6,099","6,324","6,338","6,727","6,555",
Registered nurses,Alberta,Place of work,Nursing home/long-term care,"2,068","2,106","2,183","2,264","2,285","2,280","2,395","2,325","2,355",
Registered nurses,Alberta,Place of work,Other place of work,"3,825","3,922","3,912","3,952","4,045","4,123","4,155","4,246","4,283",
Registered nurses,Alberta,Place of work,Not stated,777,"1,114",473,5,0,0,3,4,20,
Registered nurses,Alberta,Position,Staff nurse,"25,563","26,596","26,929","27,041","27,269","27,526","27,254","27,059","25,568",
Registered nurses,Alberta,Position,Manager,"2,267","2,661","2,679","2,720","2,751","2,761","2,697","2,706","2,734",
Registered nurses,Alberta,Position,Other position,"4,888","4,177","4,269","4,318","4,352","4,340","4,427","4,631","6,148",
Registered nurses,Alberta,Position,Not stated,"1,055","1,217",479,0,0,0,2,3,21,
Registered nurses,Alberta,Area of practice,Direct care,"29,736","30,808","31,323","31,585","32,104","32,304","32,097","32,109","31,533",
Registered nurses,Alberta,Area of practice,Administration,"1,054","1,016",980,917,958,978,977,992,"1,376",
Registered nurses,Alberta,Area of practice,Education,"1,070","1,090","1,084","1,090","1,111","1,138","1,098","1,097","1,338",
Registered nurses,Alberta,Area of practice,Research,213,196,196,204,198,207,203,198,200,
Registered nurses,Alberta,Area of practice,Not stated,"1,700","1,541",773,283,1,0,5,3,24,
Registered nurses,Alberta,Geography,Urban,"30,933","31,429","31,111","30,751","30,926","31,186","30,944","31,020","31,103",
Registered nurses,Alberta,Geography,Rural/remote,"2,837","3,190","3,243","3,328","3,434","3,419","3,409","3,342","3,322",
Registered nurses,Alberta,Geography,Not stated,3,32,2,0,12,22,27,37,46,
Registered nurses,British Columbia,Workforce,Total,"33,545","34,405","35,207","35,495","35,516","35,880","38,288","38,935","39,516","41,115"
Registered nurses,British Columbia,Inflow,Total,"3,792","3,684","2,950","3,242","3,651","3,064","4,551","3,541","3,249","3,625"
Registered nurses,British Columbia,Inflow,Canadian educated,"3,235","3,209","2,548","2,848","3,229","2,743","4,039","3,047","2,758","2,911"
Registered nurses,British Columbia,Inflow,Internationally educated,512,383,316,351,374,293,466,462,453,670
Registered nurses,British Columbia,Inflow,Grad location not stated,45,92,86,43,48,28,46,32,38,44
Registered nurses,British Columbia,Outflow,Total,"2,824","2,148","2,954","3,630","2,700","2,143","2,894","2,668","2,026",
Registered nurses,British Columbia,Renewal,Total,"29,753","30,721","32,257","32,253","31,865","32,816","33,737","35,394","36,267","37,490"
Registered nurses,British Columbia,Full-time/part-time status,Full time,"18,459","18,919","19,624","19,573","19,814","20,073","21,906","22,386","22,081","22,816"
Registered nurses,British Columbia,Full-time/part-time status,Part time,"9,241","9,452","9,706","10,027","10,052","10,281","11,131","11,495","12,106","13,034"
Registered nurses,British Columbia,Full-time/part-time status,Casual,"5,765","5,935","5,789","5,813","5,608","5,477","5,166","4,916","5,236","5,177"
Registered nurses,British Columbia,Full-time/part-time status,Not stated,80,99,88,82,42,49,85,138,93,88
Registered nurses,British Columbia,Place of work,Hospital,"21,646","22,271","23,231","23,494","22,992","23,487","24,551","24,565","24,709","25,609"
Registered nurses,British Columbia,Place of work,Community health,"5,344","5,470","5,706","5,749","5,779","5,997","6,747","7,206","7,391","7,859"
Registered nurses,British Columbia,Place of work,Nursing home/long-term care,"2,419","2,494","2,504","2,473","2,258","2,464","2,472","2,288","2,326","2,430"
Registered nurses,British Columbia,Place of work,Other place of work,"3,521","3,631","3,632","3,730","3,633","3,908","4,128","4,402","4,673","4,821"
Registered nurses,British Columbia,Place of work,Not stated,615,539,134,49,854,24,390,474,417,396
Registered nurses,British Columbia,Position,Staff nurse,"25,984","26,901","27,992","28,377","27,977","28,705","29,858","29,773","29,863","30,713"
Registered nurses,British Columbia,Position,Manager,"2,595","2,577","2,656","2,638","2,553","2,636","3,131","3,418","3,721","4,006"
Registered nurses,British Columbia,Position,Other position,"4,370","4,394","4,426","4,442","4,425","4,519","4,818","5,125","5,307","5,794"
Registered nurses,British Columbia,Position,Not stated,596,533,133,38,561,20,481,619,625,602
Registered nurses,British Columbia,Area of practice,Direct care,"29,138","29,762","31,820","32,321","31,375","32,980","34,904","35,392","35,853","37,313"
Registered nurses,British Columbia,Area of practice,Administration,"1,304","1,307","1,313","1,271","1,165","1,147","1,114","1,096","1,167","1,200"
Registered nurses,British Columbia,Area of practice,Education,"1,659","1,632","1,626","1,630","1,561","1,525","1,453","1,397","1,368","1,580"
Registered nurses,British Columbia,Area of practice,Research,225,227,218,214,198,199,196,178,172,187
Registered nurses,British Columbia,Area of practice,Not stated,"1,219","1,477",230,59,"1,217",29,621,872,956,835
Registered nurses,British Columbia,Geography,Urban,"31,890","32,588","33,387","33,760","33,785","34,145","36,395","37,061","37,675","38,996"
Registered nurses,British Columbia,Geography,Rural/remote,"1,595","1,626","1,633","1,666","1,651","1,637","1,793","1,803","1,773","1,825"
Registered nurses,British Columbia,Geography,Not stated,60,191,187,69,80,98,100,71,68,294
Registered nurses,Yukon,Workforce,Total,392,400,434,464,476,517,543,639,623,673
Registered nurses,Yukon,Inflow,Total,58,82,89,102,118,118,142,201,163,165
Registered nurses,Yukon,Inflow,Canadian educated,55,76,83,94,114,110,126,185,149,156
Registered nurses,Yukon,Inflow,Internationally educated,3,6,4,7,3,8,16,16,3,2
Registered nurses,Yukon,Inflow,Grad location not stated,0,0,2,1,1,0,0,0,11,7
Registered nurses,Yukon,Outflow,Total,74,55,72,106,77,116,105,179,115,
Registered nurses,Yukon,Renewal,Total,334,318,345,362,358,399,401,438,460,508
Registered nurses,Yukon,Full-time/part-time status,Full time,192,208,189,201,236,262,299,318,233,320
Registered nurses,Yukon,Full-time/part-time status,Part time,143,151,188,180,172,181,177,210,168,243
Registered nurses,Yukon,Full-time/part-time status,Casual,57,41,57,83,68,74,67,98,112,94
Registered nurses,Yukon,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,13,110,16
Registered nurses,Yukon,Place of work,Hospital,214,203,231,249,247,277,291,341,304,218
Registered nurses,Yukon,Place of work,Community health,109,121,126,132,129,147,148,167,159,136
Registered nurses,Yukon,Place of work,Nursing home/long-term care,29,28,29,27,43,40,38,34,38,39
Registered nurses,Yukon,Place of work,Other place of work,40,44,47,50,44,47,61,82,70,111
Registered nurses,Yukon,Place of work,Not stated,0,4,1,6,13,6,5,15,52,169
Registered nurses,Yukon,Position,Staff nurse,305,297,329,352,347,399,426,495,455,346
Registered nurses,Yukon,Position,Manager,37,43,39,44,41,47,57,60,51,50
Registered nurses,Yukon,Position,Other position,50,49,57,52,57,62,52,69,60,88
Registered nurses,Yukon,Position,Not stated,0,11,9,16,31,9,8,15,57,189
Registered nurses,Yukon,Area of practice,Direct care,345,350,376,398,399,451,478,556,532,491
Registered nurses,Yukon,Area of practice,Administration,35,34,38,41,28,36,35,39,26,38
Registered nurses,Yukon,Area of practice,Education,11,9,13,11,19,14,14,17,10,11
Registered nurses,Yukon,Area of practice,Research,1,0,0,1,0,1,1,2,1,0
Registered nurses,Yukon,Area of practice,Not stated,0,7,7,13,30,15,15,25,54,133
Registered nurses,Yukon,Geography,Urban,320,299,325,375,401,435,440,498,463,
Registered nurses,Yukon,Geography,Rural/remote,72,77,76,81,72,74,60,91,83,
Registered nurses,Yukon,Geography,Not stated,0,24,33,8,3,8,43,50,77,
Registered nurses,Northwest Territories/Nunavut,Workforce,Total,980,991,990,801,728,"1,083","1,170","1,323","1,286",
Registered nurses,Northwest Territories/Nunavut,Inflow,Total,143,206,160,25,66,459,256,382,163,
Registered nurses,Northwest Territories/Nunavut,Inflow,Canadian educated,134,186,143,25,59,422,226,342,148,
Registered nurses,Northwest Territories/Nunavut,Inflow,Internationally educated,9,19,17,0,7,36,30,40,15,
Registered nurses,Northwest Territories/Nunavut,Inflow,Grad location not stated,0,x,0,0,0,x,0,0,0,
Registered nurses,Northwest Territories/Nunavut,Outflow,Total,195,161,214,139,104,169,229,200,,
Registered nurses,Northwest Territories/Nunavut,Renewal,Total,837,785,830,776,662,624,914,941,"1,123",
Registered nurses,Northwest Territories/Nunavut,Full-time/part-time status,Full time,705,682,677,577,534,609,655,647,634,
Registered nurses,Northwest Territories/Nunavut,Full-time/part-time status,Part time,0,0,0,0,0,80,81,120,113,
Registered nurses,Northwest Territories/Nunavut,Full-time/part-time status,Casual,275,309,313,224,192,394,434,556,539,
Registered nurses,Northwest Territories/Nunavut,Full-time/part-time status,Not stated,0,0,0,0,x,0,0,0,0,
Registered nurses,Northwest Territories/Nunavut,Place of work,Hospital,381,389,382,325,286,422,425,465,465,
Registered nurses,Northwest Territories/Nunavut,Place of work,Community health,457,390,417,370,306,388,435,478,458,
Registered nurses,Northwest Territories/Nunavut,Place of work,Nursing home/long-term care,18,17,19,13,11,11,11,14,12,
Registered nurses,Northwest Territories/Nunavut,Place of work,Other place of work,119,130,164,90,107,150,161,189,175,
Registered nurses,Northwest Territories/Nunavut,Place of work,Not stated,5,65,8,x,18,112,138,177,176,
Registered nurses,Northwest Territories/Nunavut,Position,Staff nurse,735,727,739,587,490,755,810,903,873,
Registered nurses,Northwest Territories/Nunavut,Position,Manager,146,140,114,96,88,93,91,87,88,
Registered nurses,Northwest Territories/Nunavut,Position,Other position,94,107,111,106,88,123,131,159,147,
Registered nurses,Northwest Territories/Nunavut,Position,Not stated,5,17,26,12,62,112,138,174,178,
Registered nurses,Northwest Territories/Nunavut,Area of practice,Direct care,892,902,853,719,591,842,894,"1,000",965,
Registered nurses,Northwest Territories/Nunavut,Area of practice,Administration,48,47,82,49,45,93,103,104,100,
Registered nurses,Northwest Territories/Nunavut,Area of practice,Education,26,17,22,19,19,30,32,41,38,
Registered nurses,Northwest Territories/Nunavut,Area of practice,Research,9,6,5,x,x,6,x,x,6,
Registered nurses,Northwest Territories/Nunavut,Area of practice,Not stated,5,19,28,x,x,112,x,x,177,
Registered nurses,Northwest Territories/Nunavut,Geography,Urban,439,443,408,361,,474,516,577,561,
Registered nurses,Northwest Territories/Nunavut,Geography,Rural/remote,490,456,498,379,,364,389,386,360,
Registered nurses,Northwest Territories/Nunavut,Geography,Not stated,51,92,84,61,,245,265,360,365,
Registered nurses,Jurisdictions with available data,Workforce,Total,"279,470","280,932","281,365","282,394","273,617","275,659","280,097","283,071","289,640","263,515"
Registered nurses,Jurisdictions with available data,Full-time/part-time status,Full time,"168,811","169,084","166,332","166,958","166,335","169,329","175,798","182,079","186,387","176,365"
Registered nurses,Jurisdictions with available data,Full-time/part-time status,Part time,"81,050","82,076","85,261","87,155","81,936","80,830","78,931","74,625","73,446","60,388"
Registered nurses,Jurisdictions with available data,Full-time/part-time status,Casual,"29,093","28,678","29,664","28,130","25,297","25,450","25,281","26,210","29,155","24,548"
Registered nurses,Jurisdictions with available data,Full-time/part-time status,Not stated,516,"1,094",108,151,47,50,87,157,652,411
Registered nurses,Jurisdictions with available data,Place of work,Hospital,"176,752","178,011","179,572","181,137","175,870","176,987","178,540","132,629","135,241","110,177"
Registered nurses,Jurisdictions with available data,Place of work,Community health,"42,740","43,077","43,206","43,304","41,512","42,232","43,582","36,644","37,222","28,694"
Registered nurses,Jurisdictions with available data,Place of work,Nursing home/long-term care,"25,966","26,005","25,879","25,668","24,454","24,647","24,077","15,122","15,687","12,980"
Registered nurses,Jurisdictions with available data,Place of work,Other place of work,"32,236","31,585","31,676","31,814","30,696","31,385","31,955","24,001","24,563","20,966"
Registered nurses,Jurisdictions with available data,Place of work,Not stated,"1,776","2,254","1,032",468,"1,085",408,"1,943",857,"1,192",832
Registered nurses,Jurisdictions with available data,Position,Staff nurse,"216,843","219,503","221,403","223,612","218,055","220,171","223,420","224,149","220,549","190,925"
Registered nurses,Jurisdictions with available data,Position,Manager,"17,996","17,981","17,960","17,727","19,336","19,519","20,125","20,765","20,915","17,614"
Registered nurses,Jurisdictions with available data,Position,Other position,"42,596","41,256","40,981","40,449","35,340","35,438","35,751","37,127","39,626","33,593"
Registered nurses,Jurisdictions with available data,Position,Not stated,"2,035","2,192","1,021",606,886,531,801,"1,030","1,060","1,268"
Registered nurses,Jurisdictions with available data,Area of practice,Direct care,"247,215","249,094","252,827","254,352","245,820","248,699","252,891","255,165","259,276","224,052"
Registered nurses,Jurisdictions with available data,Area of practice,Administration,"16,471","16,040","15,645","15,595","15,955","16,230","16,454","16,722","17,590","15,852"
Registered nurses,Jurisdictions with available data,Area of practice,Education,"10,192","10,190","9,555","9,578","8,806","8,689","8,389","8,523","8,810","7,413"
Registered nurses,Jurisdictions with available data,Area of practice,Research,"1,902","1,817","1,502","1,468","1,361","1,398","1,349","1,300","1,253",966
Registered nurses,Jurisdictions with available data,Area of practice,Not stated,"3,690","3,791","1,836","1,387","1,602",643,873,"1,183","2,711","2,628"
Registered nurses,Jurisdictions with available data,Geography,Urban,"252,318","253,378","253,926","255,415","248,583","250,832","255,485","258,426","264,827","240,532"
Registered nurses,Jurisdictions with available data,Geography,Rural/remote,"26,862","27,077","27,015","26,768","24,115","24,341","24,053","24,020","23,821","20,086"
Registered nurses,Jurisdictions with available data,Geography,Not stated,290,477,424,211,191,486,559,625,992,"2,224"
Registered psychiatric nurses,Manitoba,Workforce,Total,938,979,"1,002",992,968,990,"1,020","1,045","1,080","1,088"
Registered psychiatric nurses,Manitoba,Inflow,Total,76,124,109,88,79,119,107,,97,253
Registered psychiatric nurses,Manitoba,Inflow,Canadian educated,76,121,106,85,76,113,106,,95,251
Registered psychiatric nurses,Manitoba,Inflow,Internationally educated,0,2,1,0,3,6,1,,2,2
Registered psychiatric nurses,Manitoba,Inflow,Grad location not stated,0,1,2,3,0,0,0,,0,0
Registered psychiatric nurses,Manitoba,Outflow,Total,83,86,98,103,97,77,,62,245,
Registered psychiatric nurses,Manitoba,Renewal,Total,862,855,893,904,889,871,913,,983,835
Registered psychiatric nurses,Manitoba,Full-time/part-time status,Full time,564,570,571,570,579,592,613,617,607,605
Registered psychiatric nurses,Manitoba,Full-time/part-time status,Part time,290,310,333,318,305,317,338,353,406,425
Registered psychiatric nurses,Manitoba,Full-time/part-time status,Casual,84,93,98,104,84,81,69,75,67,58
Registered psychiatric nurses,Manitoba,Full-time/part-time status,Not stated,0,6,0,0,0,0,0,0,0,0
Registered psychiatric nurses,Manitoba,Place of work,Hospital,403,438,457,445,437,435,451,452,477,499
Registered psychiatric nurses,Manitoba,Place of work,Community health,258,252,263,265,259,261,272,290,272,269
Registered psychiatric nurses,Manitoba,Place of work,Nursing home/long-term care,164,155,155,147,138,125,113,105,102,88
Registered psychiatric nurses,Manitoba,Place of work,Other place of work,113,128,127,132,134,169,181,197,228,232
Registered psychiatric nurses,Manitoba,Place of work,Not stated,0,6,0,3,0,0,3,1,1,0
Registered psychiatric nurses,Manitoba,Position,Staff nurse,698,735,774,759,738,762,799,809,830,835
Registered psychiatric nurses,Manitoba,Position,Manager,79,84,83,77,80,69,60,59,57,60
Registered psychiatric nurses,Manitoba,Position,Other position,161,154,145,153,150,159,158,176,192,193
Registered psychiatric nurses,Manitoba,Position,Not stated,0,6,0,3,0,0,3,1,1,0
Registered psychiatric nurses,Manitoba,Area of practice,Direct care,802,829,864,851,834,867,904,928,950,960
Registered psychiatric nurses,Manitoba,Area of practice,Administration,98,102,96,89,93,83,72,74,76,79
Registered psychiatric nurses,Manitoba,Area of practice,Education,37,39,40,43,41,38,39,40,51,47
Registered psychiatric nurses,Manitoba,Area of practice,Research,1,3,2,3,0,1,2,2,2,2
Registered psychiatric nurses,Manitoba,Area of practice,Not stated,0,6,0,6,0,1,3,1,1,0
Registered psychiatric nurses,Manitoba,Geography,Urban,665,695,699,696,680,703,739,769,802,808
Registered psychiatric nurses,Manitoba,Geography,Rural/remote,273,284,303,296,288,287,280,275,276,272
Registered psychiatric nurses,Manitoba,Geography,Not stated,0,0,0,0,0,0,1,1,2,8
Registered psychiatric nurses,Saskatchewan,Workforce,Total,841,825,787,755,712,706,713,679,692,702
Registered psychiatric nurses,Saskatchewan,Inflow,Total,92,51,56,74,33,70,70,63,72,70
Registered psychiatric nurses,Saskatchewan,Inflow,Canadian educated,,41,53,72,33,68,70,63,71,69
Registered psychiatric nurses,Saskatchewan,Inflow,Internationally educated,,0,3,2,0,2,0,0,1,1
Registered psychiatric nurses,Saskatchewan,Inflow,Grad location not stated,,10,0,0,0,0,0,0,0,0
Registered psychiatric nurses,Saskatchewan,Outflow,Total,67,94,106,76,76,63,97,59,60,
Registered psychiatric nurses,Saskatchewan,Renewal,Total,749,774,731,681,679,636,643,616,620,632
Registered psychiatric nurses,Saskatchewan,Full-time/part-time status,Full time,582,575,498,483,351,457,439,417,412,443
Registered psychiatric nurses,Saskatchewan,Full-time/part-time status,Part time,153,157,155,156,133,165,167,154,167,154
Registered psychiatric nurses,Saskatchewan,Full-time/part-time status,Casual,99,92,109,103,93,74,83,77,82,79
Registered psychiatric nurses,Saskatchewan,Full-time/part-time status,Not stated,7,1,25,13,135,10,24,31,31,26
Registered psychiatric nurses,Saskatchewan,Place of work,Hospital,170,211,211,209,202,219,210,193,200,217
Registered psychiatric nurses,Saskatchewan,Place of work,Community health,205,220,212,201,197,206,226,208,197,215
Registered psychiatric nurses,Saskatchewan,Place of work,Nursing home/long-term care,276,216,194,184,169,156,145,134,135,126
Registered psychiatric nurses,Saskatchewan,Place of work,Other place of work,163,148,141,128,131,123,125,135,137,144
Registered psychiatric nurses,Saskatchewan,Place of work,Not stated,27,30,29,33,13,2,7,9,23,0
Registered psychiatric nurses,Saskatchewan,Position,Staff nurse,620,625,601,575,549,543,560,537,522,559
Registered psychiatric nurses,Saskatchewan,Position,Manager,98,92,84,78,64,68,63,56,57,58
Registered psychiatric nurses,Saskatchewan,Position,Other position,101,89,80,83,93,82,83,79,94,85
Registered psychiatric nurses,Saskatchewan,Position,Not stated,22,19,22,19,6,13,7,7,19,0
Registered psychiatric nurses,Saskatchewan,Area of practice,Direct care,746,712,687,653,621,620,640,604,599,648
Registered psychiatric nurses,Saskatchewan,Area of practice,Administration,28,29,23,20,22,21,21,18,18,14
Registered psychiatric nurses,Saskatchewan,Area of practice,Education,44,45,41,44,46,38,42,31,40,40
Registered psychiatric nurses,Saskatchewan,Area of practice,Research,0,0,0,0,0,1,0,0,0,0
Registered psychiatric nurses,Saskatchewan,Area of practice,Not stated,23,39,36,38,23,26,10,26,35,0
Registered psychiatric nurses,Saskatchewan,Geography,Urban,762,688,655,671,631,627,636,608,623,617
Registered psychiatric nurses,Saskatchewan,Geography,Rural/remote,77,121,115,83,81,79,77,70,68,66
Registered psychiatric nurses,Saskatchewan,Geography,Not stated,2,16,17,1,0,0,0,1,1,19
Registered psychiatric nurses,Alberta,Workforce,Total,"1,284","1,265","1,276","1,295","1,308","1,337","1,327","1,373","1,419","1,439"
Registered psychiatric nurses,Alberta,Inflow,Total,98,89,112,110,103,123,101,155,131,109
Registered psychiatric nurses,Alberta,Inflow,Canadian educated,94,85,108,104,100,118,93,151,124,104
Registered psychiatric nurses,Alberta,Inflow,Internationally educated,4,4,4,6,3,5,8,4,7,5
Registered psychiatric nurses,Alberta,Inflow,Grad location not stated,0,0,0,0,0,0,0,0,0,0
Registered psychiatric nurses,Alberta,Outflow,Total,108,101,91,90,94,111,109,85,89,
Registered psychiatric nurses,Alberta,Renewal,Total,"1,186","1,176","1,164","1,185","1,205","1,214","1,226","1,218","1,288","1,330"
Registered psychiatric nurses,Alberta,Full-time/part-time status,Full time,675,669,672,680,680,688,709,715,742,743
Registered psychiatric nurses,Alberta,Full-time/part-time status,Part time,447,443,443,448,473,478,469,479,491,522
Registered psychiatric nurses,Alberta,Full-time/part-time status,Casual,162,153,161,167,155,171,149,179,186,174
Registered psychiatric nurses,Alberta,Full-time/part-time status,Not stated,0,0,0,0,0,0,0,0,0,0
Registered psychiatric nurses,Alberta,Place of work,Hospital,737,719,746,752,762,791,763,797,799,809
Registered psychiatric nurses,Alberta,Place of work,Community health,323,337,324,327,340,340,352,382,406,421
Registered psychiatric nurses,Alberta,Place of work,Nursing home/long-term care,100,90,87,84,81,85,85,73,78,76
Registered psychiatric nurses,Alberta,Place of work,Other place of work,113,119,116,131,124,120,127,121,136,133
Registered psychiatric nurses,Alberta,Place of work,Not stated,11,0,3,1,1,1,0,0,0,0
Registered psychiatric nurses,Alberta,Position,Staff nurse,"1,036","1,028","1,031","1,051","1,054","1,102","1,092","1,142","1,180","1,202"
Registered psychiatric nurses,Alberta,Position,Manager,103,106,103,105,104,108,97,98,95,94
Registered psychiatric nurses,Alberta,Position,Other position,134,131,140,139,146,127,136,133,144,143
Registered psychiatric nurses,Alberta,Position,Not stated,11,0,2,0,4,0,2,0,0,0
Registered psychiatric nurses,Alberta,Area of practice,Direct care,"1,114","1,084","1,093","1,093","1,087","1,080","1,066","1,083","1,108","1,114"
Registered psychiatric nurses,Alberta,Area of practice,Administration,127,127,137,155,177,202,223,252,269,285
Registered psychiatric nurses,Alberta,Area of practice,Education,24,28,33,35,33,31,31,32,37,35
Registered psychiatric nurses,Alberta,Area of practice,Research,8,8,8,6,6,5,4,5,5,5
Registered psychiatric nurses,Alberta,Area of practice,Not stated,11,18,5,6,5,19,3,1,0,0
Registered psychiatric nurses,Alberta,Geography,Urban,949,932,942,956,975,"1,000","1,004","1,050","1,084","1,102"
Registered psychiatric nurses,Alberta,Geography,Rural/remote,335,333,334,339,333,336,321,321,332,326
Registered psychiatric nurses,Alberta,Geography,Not stated,0,0,0,0,0,1,2,2,3,11
Registered psychiatric nurses,British Columbia,Workforce,Total,"2,400","2,527","2,526","2,638","2,680","2,762","2,978","3,092","3,178","3,332"
Registered psychiatric nurses,British Columbia,Inflow,Total,237,287,205,293,,251,355,297,267,293
Registered psychiatric nurses,British Columbia,Inflow,Canadian educated,214,274,194,286,,181,270,265,232,256
Registered psychiatric nurses,British Columbia,Inflow,Internationally educated,9,9,5,6,,2,4,2,4,9
Registered psychiatric nurses,British Columbia,Inflow,Grad location not stated,14,4,6,1,,68,81,30,31,28
Registered psychiatric nurses,British Columbia,Outflow,Total,160,206,181,,169,139,183,181,139,
Registered psychiatric nurses,British Columbia,Renewal,Total,"2,163","2,240","2,321","2,345",,"2,511","2,623","2,795","2,911","3,039"
Registered psychiatric nurses,British Columbia,Full-time/part-time status,Full time,"1,536","1,567","1,641","1,637","1,780","1,823","2,019","2,105","2,199","2,333"
Registered psychiatric nurses,British Columbia,Full-time/part-time status,Part time,443,464,433,450,506,526,569,599,624,702
Registered psychiatric nurses,British Columbia,Full-time/part-time status,Casual,404,466,442,402,391,407,385,370,347,289
Registered psychiatric nurses,British Columbia,Full-time/part-time status,Not stated,17,30,10,149,3,6,5,18,8,8
Registered psychiatric nurses,British Columbia,Place of work,Hospital,"1,067","1,162","1,148","1,097",,,,,,
Registered psychiatric nurses,British Columbia,Place of work,Community health,872,928,965,987,,,,,,
Registered psychiatric nurses,British Columbia,Place of work,Nursing home/long-term care,162,157,159,156,,,,,,
Registered psychiatric nurses,British Columbia,Place of work,Other place of work,235,259,254,261,,,,,,
Registered psychiatric nurses,British Columbia,Place of work,Not stated,64,21,0,137,,,,,,
Registered psychiatric nurses,British Columbia,Position,Staff nurse,"1,991","2,128","2,160","2,148",,"2,221","2,290","2,314","2,322","2,421"
Registered psychiatric nurses,British Columbia,Position,Manager,130,138,143,137,,230,288,327,367,392
Registered psychiatric nurses,British Columbia,Position,Other position,219,238,223,216,,310,349,388,421,447
Registered psychiatric nurses,British Columbia,Position,Not stated,60,23,0,137,,1,51,63,68,72
Registered psychiatric nurses,British Columbia,Area of practice,Direct care,"2,088","2,231","2,261","2,253",,"2,622","2,829","2,936","3,030","3,179"
Registered psychiatric nurses,British Columbia,Area of practice,Administration,171,185,183,171,,76,67,61,60,60
Registered psychiatric nurses,British Columbia,Area of practice,Education,80,86,80,75,,61,51,54,49,56
Registered psychiatric nurses,British Columbia,Area of practice,Research,0,1,2,2,,2,1,2,2,1
Registered psychiatric nurses,British Columbia,Area of practice,Not stated,61,24,0,137,,1,30,39,37,36
Registered psychiatric nurses,British Columbia,Geography,Urban,"2,332","2,460","2,460","2,573","2,562","2,646","2,857","2,994","3,086","3,215"
Registered psychiatric nurses,British Columbia,Geography,Rural/remote,68,66,66,64,79,78,92,85,84,80
Registered psychiatric nurses,British Columbia,Geography,Not stated,0,1,0,1,39,38,29,13,8,37
Registered psychiatric nurses,Yukon,Workforce,Total,,,,,,,,,,
Registered psychiatric nurses,Yukon,Inflow,Total,,,,,,,,,,
Registered psychiatric nurses,Yukon,Inflow,Canadian educated,,,,,,,,,,
